identificador,p_desercion,resultado_modelo
134505,0.0738,No deserta
134530,0.8924,Deserta
134625,0.9378,Deserta
134636,0.6904,Deserta
134637,0.1058,No deserta
134634,0.9234,Deserta
134641,0.1098,No deserta
134640,0.7711,Deserta
134902,0.9199,Deserta
135041,0.846,Deserta
135013,0.8657,Deserta
135106,0.9624,Deserta
135112,0.7524,Deserta
135164,0.9133,Deserta
135199,0.2566,No deserta
135264,0.8868,Deserta
135321,0.5715,Deserta
135359,0.8927,Deserta
135361,0.127,No deserta
135369,0.874,Deserta
135373,0.9095,Deserta
135466,0.6947,Deserta
135553,0.0712,No deserta
135554,0.7767,Deserta
135609,0.1306,No deserta
135629,0.1482,No deserta
135628,0.9185,Deserta
135631,0.1841,No deserta
135632,0.0919,No deserta
135630,0.077,No deserta
135633,0.1011,No deserta
135634,0.9303,Deserta
135695,0.1389,No deserta
135700,0.796,Deserta
135699,0.8789,Deserta
135696,0.1345,No deserta
135702,0.2421,No deserta
135697,0.8456,Deserta
135698,0.882,Deserta
135701,0.922,Deserta
135705,0.11,No deserta
135707,0.0658,No deserta
135704,0.1698,No deserta
135706,0.7884,Deserta
135709,0.438,No deserta
135710,0.5398,Deserta
135792,0.8554,Deserta
135775,0.23,No deserta
135776,0.7424,Deserta
135794,0.1199,No deserta
62729,0.8476,Deserta
135806,0.9209,Deserta
135810,0.1236,No deserta
135842,0.0834,No deserta
135845,0.8446,Deserta
135868,0.2029,No deserta
135869,0.1376,No deserta
105914,0.1932,No deserta
146126,0.1132,No deserta
133277,0.8844,Deserta
135889,0.9305,Deserta
135890,0.7231,Deserta
135929,0.0408,No deserta
135938,0.178,No deserta
135947,0.9056,Deserta
135945,0.1569,No deserta
127497,0.089,No deserta
135988,0.8827,Deserta
115040,0.8795,Deserta
135995,0.1654,No deserta
136006,0.932,Deserta
136019,0.728,Deserta
104539,0.7121,Deserta
136031,0.0869,No deserta
136062,0.5513,Deserta
136067,0.2184,No deserta
136086,0.2125,No deserta
136144,0.088,No deserta
136147,0.892,Deserta
136216,0.8464,Deserta
136218,0.4541,No deserta
136214,0.1002,No deserta
136215,0.0576,No deserta
136221,0.9054,Deserta
136220,0.4681,No deserta
136298,0.8861,Deserta
136299,0.8977,Deserta
136303,0.1568,No deserta
136375,0.592,Deserta
136376,0.0451,No deserta
136377,0.522,Deserta
136378,0.901,Deserta
136379,0.8514,Deserta
136380,0.866,Deserta
136408,0.0734,No deserta
136412,0.2806,No deserta
136411,0.8971,Deserta
136447,0.3799,No deserta
136448,0.3414,No deserta
87818,0.6169,Deserta
136540,0.3263,No deserta
136538,0.8189,Deserta
136539,0.5818,Deserta
136543,0.0946,No deserta
136601,0.8892,Deserta
108598,0.897,Deserta
136645,0.7812,Deserta
136644,0.9477,Deserta
136648,0.0684,No deserta
136643,0.1382,No deserta
136646,0.184,No deserta
136653,0.0927,No deserta
136650,0.9063,Deserta
136655,0.8498,Deserta
136657,0.5534,Deserta
136658,0.1369,No deserta
136762,0.7557,Deserta
107389,0.873,Deserta
78902,0.6165,Deserta
136910,0.879,Deserta
136909,0.7381,Deserta
136911,0.0889,No deserta
136908,0.0881,No deserta
136912,0.1605,No deserta
136921,0.2483,No deserta
136914,0.6614,Deserta
136922,0.0595,No deserta
136916,0.8717,Deserta
136919,0.8927,Deserta
136918,0.8759,Deserta
136920,0.0779,No deserta
136913,0.1706,No deserta
136917,0.0741,No deserta
136927,0.264,No deserta
136923,0.0781,No deserta
136926,0.0826,No deserta
136932,0.5585,Deserta
136930,0.618,Deserta
136929,0.4207,No deserta
136934,0.4518,No deserta
136931,0.7393,Deserta
136936,0.3292,No deserta
136935,0.0628,No deserta
137015,0.0464,No deserta
137016,0.1181,No deserta
137017,0.1918,No deserta
137018,0.9211,Deserta
137078,0.5394,Deserta
137141,0.9198,Deserta
137170,0.9399,Deserta
137171,0.9082,Deserta
137176,0.3642,No deserta
137179,0.1011,No deserta
137262,0.2688,No deserta
137263,0.87,Deserta
137278,0.4389,No deserta
137300,0.855,Deserta
137456,0.0697,No deserta
137458,0.843,Deserta
137504,0.8779,Deserta
137505,0.2735,No deserta
137506,0.0862,No deserta
137509,0.8701,Deserta
137612,0.8258,Deserta
137613,0.9129,Deserta
137616,0.1171,No deserta
137752,0.8395,Deserta
137737,0.9124,Deserta
109575,0.8914,Deserta
118837,0.6537,Deserta
137794,0.0642,No deserta
137797,0.3221,No deserta
137799,0.7388,Deserta
137803,0.8723,Deserta
137806,0.0553,No deserta
137811,0.8343,Deserta
137818,0.2253,No deserta
137819,0.6598,Deserta
137947,0.045,No deserta
137945,0.084,No deserta
137948,0.8914,Deserta
137946,0.4553,No deserta
137944,0.9226,Deserta
137953,0.1793,No deserta
137952,0.7914,Deserta
137951,0.1412,No deserta
138016,0.1818,No deserta
138013,0.8949,Deserta
138014,0.9306,Deserta
138015,0.871,Deserta
138017,0.8808,Deserta
120657,0.8315,Deserta
138025,0.055,No deserta
138027,0.0538,No deserta
138026,0.854,Deserta
138030,0.7897,Deserta
138028,0.4567,No deserta
138029,0.7164,Deserta
138055,0.1975,No deserta
138058,0.7237,Deserta
138068,0.9251,Deserta
138070,0.8816,Deserta
138174,0.8524,Deserta
138178,0.3252,No deserta
138176,0.8168,Deserta
138175,0.0538,No deserta
138179,0.8276,Deserta
138180,0.1314,No deserta
138416,0.8737,Deserta
138417,0.0748,No deserta
138418,0.8788,Deserta
138419,0.0925,No deserta
138420,0.9368,Deserta
138423,0.1361,No deserta
138421,0.0517,No deserta
138422,0.9245,Deserta
138424,0.0507,No deserta
138426,0.8903,Deserta
138425,0.8589,Deserta
138639,0.6321,Deserta
138640,0.4684,No deserta
138642,0.9221,Deserta
138644,0.0387,No deserta
138647,0.7125,Deserta
138648,0.4473,No deserta
138646,0.0449,No deserta
138645,0.5002,Deserta
138747,0.8261,Deserta
138751,0.4792,No deserta
138750,0.916,Deserta
138752,0.0997,No deserta
138753,0.4882,No deserta
138755,0.809,Deserta
138795,0.8068,Deserta
138804,0.5526,Deserta
138779,0.9812,Deserta
138778,0.2375,No deserta
138788,0.1583,No deserta
138787,0.0326,No deserta
138872,0.7903,Deserta
138858,0.355,No deserta
139023,0.3334,No deserta
138964,0.7597,Deserta
139010,0.6532,Deserta
139009,0.9332,Deserta
139015,0.0481,No deserta
139117,0.6817,Deserta
139116,0.8851,Deserta
139135,0.8227,Deserta
139134,0.0619,No deserta
139133,0.552,Deserta
139136,0.1088,No deserta
139288,0.2403,No deserta
139257,0.1458,No deserta
139274,0.9407,Deserta
139304,0.0563,No deserta
139303,0.8638,Deserta
139307,0.7117,Deserta
139309,0.6917,Deserta
139308,0.6963,Deserta
139313,0.3878,No deserta
139507,0.4802,No deserta
139486,0.2484,No deserta
139487,0.0362,No deserta
139488,0.134,No deserta
139493,0.9218,Deserta
139492,0.8983,Deserta
139494,0.1782,No deserta
139608,0.9261,Deserta
139611,0.8629,Deserta
139609,0.6427,Deserta
139610,0.7183,Deserta
139606,0.9132,Deserta
139605,0.9207,Deserta
139612,0.9086,Deserta
139640,0.9331,Deserta
139641,0.0877,No deserta
139741,0.8663,Deserta
139745,0.1724,No deserta
139748,0.1739,No deserta
139746,0.9697,Deserta
139747,0.3949,No deserta
139908,0.4083,No deserta
139909,0.8562,Deserta
139979,0.1037,No deserta
140011,0.0439,No deserta
140021,0.0539,No deserta
140118,0.3556,No deserta
140117,0.9315,Deserta
140168,0.9054,Deserta
140201,0.0857,No deserta
140297,0.5503,Deserta
140328,0.7338,Deserta
140355,0.7808,Deserta
140332,0.5216,Deserta
140510,0.2006,No deserta
140514,0.1982,No deserta
140584,0.0481,No deserta
140610,0.489,No deserta
140617,0.8377,Deserta
140625,0.9299,Deserta
140631,0.3772,No deserta
140658,0.948,Deserta
140657,0.8991,Deserta
140660,0.1356,No deserta
140701,0.3073,No deserta
140702,0.9585,Deserta
140726,0.3743,No deserta
140728,0.2057,No deserta
140807,0.8806,Deserta
140824,0.1883,No deserta
140864,0.8991,Deserta
140863,0.0619,No deserta
140956,0.6196,Deserta
140960,0.0916,No deserta
140985,0.8516,Deserta
140987,0.9016,Deserta
141010,0.1178,No deserta
141029,0.5247,Deserta
141027,0.8548,Deserta
141030,0.0736,No deserta
141065,0.5703,Deserta
141064,0.5998,Deserta
141068,0.1117,No deserta
141082,0.8632,Deserta
141148,0.0399,No deserta
141253,0.5937,Deserta
141249,0.103,No deserta
141252,0.1254,No deserta
141250,0.8214,Deserta
141248,0.7229,Deserta
141288,0.9255,Deserta
141359,0.6518,Deserta
141351,0.05,No deserta
141353,0.5906,Deserta
141355,0.0649,No deserta
141352,0.9463,Deserta
141432,0.8285,Deserta
141464,0.055,No deserta
141468,0.8205,Deserta
141467,0.7948,Deserta
141466,0.0776,No deserta
141521,0.0452,No deserta
141522,0.0467,No deserta
141523,0.9243,Deserta
141552,0.0993,No deserta
141584,0.1784,No deserta
141587,0.8788,Deserta
141651,0.056,No deserta
141650,0.027,No deserta
141649,0.3841,No deserta
141675,0.7034,Deserta
141746,0.0174,No deserta
141748,0.1115,No deserta
141747,0.827,Deserta
141749,0.8952,Deserta
141767,0.1191,No deserta
141768,0.1153,No deserta
141769,0.8246,Deserta
141790,0.8324,Deserta
141789,0.7853,Deserta
141785,0.0426,No deserta
141788,0.1725,No deserta
141787,0.9226,Deserta
141786,0.2746,No deserta
141792,0.1038,No deserta
141791,0.8226,Deserta
141799,0.0562,No deserta
141793,0.0186,No deserta
141800,0.9054,Deserta
141795,0.7176,Deserta
141841,0.3035,No deserta
141858,0.8972,Deserta
141859,0.2025,No deserta
141857,0.0199,No deserta
141860,0.0154,No deserta
141924,0.0316,No deserta
142065,0.111,No deserta
142066,0.348,No deserta
142071,0.9168,Deserta
142072,0.7766,Deserta
142068,0.0375,No deserta
142069,0.1347,No deserta
142073,0.1732,No deserta
142226,0.0476,No deserta
142220,0.8541,Deserta
142228,0.9141,Deserta
142222,0.5514,Deserta
142225,0.8849,Deserta
142227,0.5209,Deserta
142223,0.3523,No deserta
142296,0.5982,Deserta
142421,0.8634,Deserta
142419,0.8465,Deserta
142417,0.8898,Deserta
142420,0.2011,No deserta
142426,0.0693,No deserta
142429,0.0886,No deserta
142427,0.2112,No deserta
142428,0.161,No deserta
142425,0.0874,No deserta
142431,0.9535,Deserta
142433,0.7694,Deserta
142436,0.0414,No deserta
142432,0.825,Deserta
142437,0.6329,Deserta
142430,0.9395,Deserta
142434,0.6125,Deserta
142435,0.9129,Deserta
142590,0.9129,Deserta
142591,0.0349,No deserta
142592,0.8937,Deserta
142593,0.0789,No deserta
142598,0.034,No deserta
142594,0.034,No deserta
142596,0.4437,No deserta
142607,0.8491,Deserta
142606,0.8045,Deserta
142608,0.0627,No deserta
142621,0.0521,No deserta
142620,0.1984,No deserta
142623,0.8146,Deserta
142625,0.5265,Deserta
142624,0.201,No deserta
142635,0.034,No deserta
142629,0.7769,Deserta
142639,0.0445,No deserta
142633,0.0314,No deserta
142627,0.0609,No deserta
142630,0.8153,Deserta
142634,0.9442,Deserta
142642,0.0142,No deserta
142643,0.0295,No deserta
142632,0.6766,Deserta
142631,0.073,No deserta
142626,0.0296,No deserta
142640,0.8978,Deserta
142646,0.4906,No deserta
142644,0.1125,No deserta
142663,0.1234,No deserta
142699,0.9038,Deserta
142697,0.0156,No deserta
142843,0.9158,Deserta
142842,0.0824,No deserta
142847,0.9002,Deserta
142845,0.1762,No deserta
142851,0.8981,Deserta
142852,0.0857,No deserta
142853,0.6746,Deserta
142850,0.0362,No deserta
142887,0.922,Deserta
142886,0.8588,Deserta
142889,0.0351,No deserta
142885,0.0303,No deserta
142890,0.0775,No deserta
142883,0.8608,Deserta
142884,0.0939,No deserta
142892,0.0576,No deserta
142888,0.1213,No deserta
142893,0.7477,Deserta
142928,0.8661,Deserta
142929,0.8072,Deserta
142960,0.3486,No deserta
142959,0.3027,No deserta
142988,0.1672,No deserta
142987,0.6815,Deserta
142989,0.042,No deserta
142991,0.0678,No deserta
142990,0.7823,Deserta
142993,0.4015,No deserta
143004,0.0257,No deserta
143005,0.7689,Deserta
143010,0.8688,Deserta
143007,0.6364,Deserta
143006,0.2156,No deserta
143011,0.0956,No deserta
143246,0.0044,No deserta
143503,0.0223,No deserta
143904,0.9206,Deserta
144769,0.0221,No deserta
144771,0.011,No deserta
144770,0.0093,No deserta
144772,0.0126,No deserta
145049,0.0143,No deserta
145048,0.0125,No deserta
145050,0.0257,No deserta
145211,0.0129,No deserta
145217,0.0172,No deserta
145214,0.0174,No deserta
145213,0.0117,No deserta
145216,0.0126,No deserta
145218,0.0158,No deserta
145215,0.0033,No deserta
145221,0.0119,No deserta
145223,0.7999,Deserta
145222,0.0105,No deserta
145219,0.0409,No deserta
145220,0.0374,No deserta
145232,0.6346,Deserta
150718,0.0061,No deserta
150850,0.0048,No deserta
150851,0.0047,No deserta
150847,0.0041,No deserta
151573,0.0066,No deserta
151602,0.0068,No deserta
151603,0.0088,No deserta
152747,0.006,No deserta
153450,0.0005,No deserta
153451,0.0037,No deserta
153570,0.0009,No deserta
153569,0.0013,No deserta
153576,0.0037,No deserta
153572,0.0179,No deserta
153573,0.0028,No deserta
153575,0.0014,No deserta
153733,0.0013,No deserta
153738,0.0027,No deserta
153734,0.0098,No deserta
153814,0.6324,Deserta
153815,0.5602,Deserta
153977,0.001,No deserta
153976,0.0035,No deserta
153979,0.0339,No deserta
153978,0.0035,No deserta
154101,0.0149,No deserta
154102,0.0009,No deserta
154106,0.0026,No deserta
154103,0.0109,No deserta
154104,0.003,No deserta
154292,0.0089,No deserta
154294,0.003,No deserta
154946,0.0083,No deserta
154987,0.4049,No deserta
155063,0.002,No deserta
155479,0.0322,No deserta
155673,0.001,No deserta
155674,0.0028,No deserta
156043,0.0025,No deserta
156044,0.0021,No deserta
156441,0.1843,No deserta
157466,0.0008,No deserta
157467,0.0022,No deserta
157468,0.0166,No deserta
157469,0.0082,No deserta
157713,0.1081,No deserta
157714,0.004,No deserta
157715,0.0077,No deserta
158043,0.0015,No deserta
158929,0.0035,No deserta
159153,0.0016,No deserta
160017,0.003,No deserta
160018,0.0058,No deserta
160098,0.002,No deserta
160167,0.0004,No deserta
160168,0.0085,No deserta
160372,0.0118,No deserta
160389,0.0657,No deserta
160440,0.0122,No deserta
160441,0.9534,Deserta
160443,0.0011,No deserta
160442,0.0013,No deserta
160491,0.1521,No deserta
160681,0.0028,No deserta
160779,0.0006,No deserta
160786,0.0161,No deserta
160791,0.0011,No deserta
160789,0.0762,No deserta
160787,0.7788,Deserta
160790,0.0066,No deserta
160871,0.7254,Deserta
160912,0.1213,No deserta
161319,0.3247,No deserta
162974,0.0016,No deserta
162975,0.0011,No deserta
162978,0.9674,Deserta
162977,0.0232,No deserta
162976,0.0011,No deserta
163607,0.0002,No deserta
163608,0.0004,No deserta
163611,0.0008,No deserta
163610,0.0039,No deserta
163615,0.0011,No deserta
163638,0.0016,No deserta
163637,0.001,No deserta
163640,0.0008,No deserta
163639,0.0129,No deserta
163720,0.0013,No deserta
163823,0.0337,No deserta
163971,0.0244,No deserta
164030,0.0019,No deserta
164029,0.9089,Deserta
164027,0.0006,No deserta
164026,0.0003,No deserta
164025,0.0038,No deserta
164028,0.0003,No deserta
164023,0.0003,No deserta
164035,0.0162,No deserta
164037,0.5658,Deserta
164034,0.9738,Deserta
164036,0.2347,No deserta
164032,0.0011,No deserta
164038,0.3078,No deserta
164033,0.0051,No deserta
164150,0.0226,No deserta
164151,0.0332,No deserta
164174,0.0024,No deserta
164477,0.0021,No deserta
164517,0.0111,No deserta
164515,0.0623,No deserta
164516,0.6395,Deserta
164666,0.0179,No deserta
164874,0.1509,No deserta
165087,0.931,Deserta
165145,0.7185,Deserta
165847,0.0046,No deserta
165849,0.0029,No deserta
165850,0.731,Deserta
165851,0.0028,No deserta
165852,0.0331,No deserta
166057,0.9083,Deserta
166172,0.0012,No deserta
166173,0.6677,Deserta
166174,0.0057,No deserta
166460,0.0078,No deserta
168140,0.8227,Deserta
168141,0.2446,No deserta
168472,0.0017,No deserta
168474,0.001,No deserta
168487,0.0015,No deserta
168486,0.0083,No deserta
168489,0.4993,No deserta
168576,0.0056,No deserta
168724,0.0042,No deserta
168725,0.6414,Deserta
169185,0.0009,No deserta
169192,0.0029,No deserta
169191,0.0025,No deserta
169435,0.0362,No deserta
169619,0.0038,No deserta
169690,0.0084,No deserta
170168,0.0036,No deserta
170340,0.0006,No deserta
170345,0.0037,No deserta
170346,0.0032,No deserta
170343,0.0642,No deserta
170342,0.0092,No deserta
170388,0.0021,No deserta
170496,0.0035,No deserta
170499,0.079,No deserta
170500,0.0026,No deserta
170509,0.0036,No deserta
170505,0.0055,No deserta
170507,0.0029,No deserta
170504,0.0086,No deserta
170506,0.0031,No deserta
170508,0.0005,No deserta
170512,0.0007,No deserta
170511,0.0013,No deserta
170519,0.001,No deserta
170560,0.0006,No deserta
170561,0.0609,No deserta
170646,0.1921,No deserta
170917,0.0351,No deserta
170916,0.0055,No deserta
171288,0.0196,No deserta
171418,0.0055,No deserta
171505,0.0622,No deserta
171506,0.0073,No deserta
172016,0.0613,No deserta
172017,0.0048,No deserta
172438,0.0029,No deserta
172881,0.0084,No deserta
173232,0.0019,No deserta
173229,0.0306,No deserta
173230,0.004,No deserta
173233,0.0038,No deserta
173234,0.004,No deserta
173379,0.0081,No deserta
173378,0.0187,No deserta
173377,0.0089,No deserta
173465,0.0084,No deserta
173709,0.0037,No deserta
173706,0.0057,No deserta
173707,0.002,No deserta
173708,0.0028,No deserta
173837,0.0136,No deserta
174101,0.001,No deserta
174112,0.0027,No deserta
174113,0.0221,No deserta
174762,0.0356,No deserta
174871,0.0377,No deserta
174938,0.0007,No deserta
174937,0.0007,No deserta
174944,0.0425,No deserta
174940,0.0046,No deserta
174943,0.0012,No deserta
174942,0.003,No deserta
174941,0.0037,No deserta
174967,0.0045,No deserta
174966,0.0038,No deserta
174968,0.0233,No deserta
174965,0.0073,No deserta
174963,0.0063,No deserta
174969,0.0021,No deserta
174964,0.0416,No deserta
175392,0.2224,No deserta
175649,0.0175,No deserta
175877,0.4838,No deserta
176299,0.0008,No deserta
176301,0.0231,No deserta
176300,0.0076,No deserta
176827,0.0017,No deserta
176828,0.0127,No deserta
176829,0.0083,No deserta
176832,0.0065,No deserta
176831,0.0049,No deserta
177067,0.0008,No deserta
177189,0.0104,No deserta
177190,0.0111,No deserta
177661,0.0178,No deserta
177698,0.0185,No deserta
177788,0.027,No deserta
177817,0.0799,No deserta
177951,0.026,No deserta
177953,0.0113,No deserta
177952,0.2,No deserta
178034,0.0031,No deserta
178033,0.234,No deserta
178039,0.0092,No deserta
178098,0.0084,No deserta
178099,0.0134,No deserta
178100,0.5605,Deserta
178412,0.0041,No deserta
178413,0.0356,No deserta
178593,0.0414,No deserta
178731,0.0342,No deserta
178730,0.0085,No deserta
178729,0.0095,No deserta
178732,0.036,No deserta
178733,0.0135,No deserta
178867,0.0904,No deserta
178866,0.0163,No deserta
179109,0.009,No deserta
179110,0.0656,No deserta
179308,0.0013,No deserta
179310,0.0032,No deserta
179311,0.0402,No deserta
179314,0.0099,No deserta
179316,0.0377,No deserta
179317,0.0141,No deserta
179321,0.1415,No deserta
179320,0.0045,No deserta
179480,0.212,No deserta
179788,0.0018,No deserta
179791,0.0405,No deserta
179795,0.4875,No deserta
179792,0.0196,No deserta
179796,0.0084,No deserta
179790,0.0638,No deserta
179794,0.0043,No deserta
179793,0.0714,No deserta
179884,0.0229,No deserta
180386,0.0135,No deserta
180721,0.0182,No deserta
182177,0.0162,No deserta
182211,0.0035,No deserta
182537,0.0076,No deserta
182536,0.1269,No deserta
183275,0.0075,No deserta
183274,0.293,No deserta
183277,0.015,No deserta
183307,0.0028,No deserta
183509,0.0056,No deserta
183510,0.0064,No deserta
183508,0.007,No deserta
183507,0.0018,No deserta
183768,0.0052,No deserta
183770,0.0029,No deserta
183772,0.0042,No deserta
183782,0.0477,No deserta
183781,0.0069,No deserta
183783,0.1763,No deserta
183786,0.0384,No deserta
183788,0.0121,No deserta
183789,0.0122,No deserta
183787,0.017,No deserta
183807,0.0054,No deserta
183812,0.0053,No deserta
183811,0.0019,No deserta
183808,0.0042,No deserta
183806,0.0232,No deserta
183809,0.0036,No deserta
183810,0.0031,No deserta
183816,0.0319,No deserta
183815,0.009,No deserta
183819,0.005,No deserta
183814,0.1387,No deserta
183813,0.0542,No deserta
183820,0.0105,No deserta
183818,0.015,No deserta
183817,0.0083,No deserta
183821,0.0194,No deserta
183822,0.017,No deserta
183823,0.0267,No deserta
183824,0.0096,No deserta
183955,0.1724,No deserta
184033,0.0009,No deserta
184035,0.0295,No deserta
184034,0.0186,No deserta
184037,0.0141,No deserta
184036,0.0196,No deserta
184072,0.0066,No deserta
184129,0.4323,No deserta
184903,0.0109,No deserta
187527,0.0331,No deserta
188313,0.0006,No deserta
189706,0.2493,No deserta
189767,0.0392,No deserta
189766,0.041,No deserta
190287,0.0262,No deserta
190280,0.0181,No deserta
190284,0.0098,No deserta
190290,0.0627,No deserta
190291,0.0202,No deserta
190293,0.0172,No deserta
190305,0.0074,No deserta
190301,0.0382,No deserta
190296,0.0126,No deserta
190303,0.0164,No deserta
190297,0.0138,No deserta
190300,0.0305,No deserta
190510,0.0233,No deserta
190508,0.0201,No deserta
190539,0.0412,No deserta
190540,0.0076,No deserta
190765,0.0114,No deserta
190762,0.0172,No deserta
190760,0.0534,No deserta
190766,0.0275,No deserta
190757,0.0288,No deserta
190758,0.0292,No deserta
191093,0.0245,No deserta
143183,0.7677,Deserta
143181,0.0206,No deserta
143185,0.8248,Deserta
143184,0.7316,Deserta
143182,0.0216,No deserta
143186,0.0281,No deserta
143190,0.0416,No deserta
143191,0.0348,No deserta
143189,0.7491,Deserta
143193,0.1384,No deserta
143192,0.6323,Deserta
143265,0.8464,Deserta
143407,0.0244,No deserta
143404,0.0184,No deserta
143406,0.1673,No deserta
143402,0.034,No deserta
143410,0.339,No deserta
143426,0.8446,Deserta
143453,0.0315,No deserta
143452,0.7961,Deserta
143454,0.9039,Deserta
143457,0.033,No deserta
143456,0.3658,No deserta
143518,0.9505,Deserta
143522,0.1269,No deserta
143521,0.7649,Deserta
143665,0.8175,Deserta
143669,0.8336,Deserta
143674,0.8017,Deserta
143670,0.8825,Deserta
143666,0.9336,Deserta
143668,0.0477,No deserta
143673,0.0352,No deserta
143677,0.8682,Deserta
143675,0.788,Deserta
143778,0.0281,No deserta
143779,0.0322,No deserta
143783,0.1228,No deserta
143782,0.0413,No deserta
143784,0.6385,Deserta
143796,0.9481,Deserta
143795,0.895,Deserta
143819,0.0139,No deserta
143821,0.9335,Deserta
143818,0.8424,Deserta
143816,0.2569,No deserta
143817,0.0752,No deserta
143824,0.2258,No deserta
143825,0.4403,No deserta
143828,0.9314,Deserta
143829,0.0341,No deserta
143823,0.6536,Deserta
143822,0.0405,No deserta
143831,0.0237,No deserta
143917,0.8014,Deserta
144091,0.0955,No deserta
144093,0.9174,Deserta
144141,0.935,Deserta
144240,0.9226,Deserta
144243,0.8506,Deserta
144309,0.272,No deserta
144389,0.8626,Deserta
144393,0.1223,No deserta
144394,0.9242,Deserta
144395,0.0167,No deserta
144541,0.3071,No deserta
144542,0.0198,No deserta
144803,0.9328,Deserta
144939,0.045,No deserta
145150,0.0561,No deserta
145474,0.6244,Deserta
145501,0.4003,No deserta
145502,0.3396,No deserta
145576,0.7902,Deserta
145656,0.0663,No deserta
145675,0.8932,Deserta
145684,0.7185,Deserta
145683,0.9089,Deserta
145755,0.0226,No deserta
145983,0.8096,Deserta
146085,0.9367,Deserta
146076,0.8459,Deserta
146081,0.7859,Deserta
146072,0.8783,Deserta
146080,0.785,Deserta
146084,0.2132,No deserta
146077,0.1226,No deserta
146071,0.5451,Deserta
146079,0.6957,Deserta
146070,0.1011,No deserta
146075,0.7893,Deserta
146083,0.0669,No deserta
146088,0.8837,Deserta
146261,0.9599,Deserta
146298,0.9582,Deserta
146297,0.824,Deserta
146296,0.9043,Deserta
146306,0.182,No deserta
146299,0.1996,No deserta
146301,0.9151,Deserta
146389,0.9244,Deserta
146391,0.556,Deserta
146392,0.3221,No deserta
146398,0.8934,Deserta
146393,0.4345,No deserta
146394,0.93,Deserta
146395,0.885,Deserta
146410,0.0339,No deserta
146538,0.9276,Deserta
146593,0.8108,Deserta
146646,0.0221,No deserta
146723,0.0214,No deserta
146722,0.9164,Deserta
146719,0.9485,Deserta
146720,0.7069,Deserta
146781,0.1755,No deserta
146782,0.1272,No deserta
146780,0.7287,Deserta
146789,0.9507,Deserta
146863,0.0258,No deserta
146865,0.1089,No deserta
146864,0.5409,Deserta
146948,0.4914,No deserta
146950,0.9629,Deserta
146951,0.9606,Deserta
146952,0.9657,Deserta
147363,0.8873,Deserta
147361,0.7767,Deserta
147362,0.9161,Deserta
147409,0.0999,No deserta
147510,0.9076,Deserta
147515,0.336,No deserta
147517,0.8948,Deserta
147516,0.8586,Deserta
147595,0.7961,Deserta
147616,0.3699,No deserta
147662,0.5303,Deserta
147678,0.8714,Deserta
147681,0.9664,Deserta
147675,0.187,No deserta
147674,0.2354,No deserta
147676,0.9619,Deserta
147680,0.8823,Deserta
147677,0.2761,No deserta
147679,0.007,No deserta
147685,0.0591,No deserta
147689,0.2179,No deserta
147684,0.0087,No deserta
147690,0.7456,Deserta
147682,0.0321,No deserta
147688,0.0173,No deserta
147691,0.0955,No deserta
147683,0.9702,Deserta
147692,0.0165,No deserta
147697,0.1094,No deserta
147700,0.2048,No deserta
147694,0.1908,No deserta
147696,0.6721,Deserta
147698,0.0501,No deserta
147693,0.0107,No deserta
147709,0.0178,No deserta
147703,0.0252,No deserta
147704,0.9717,Deserta
147710,0.8942,Deserta
147707,0.0451,No deserta
147712,0.0764,No deserta
147719,0.9071,Deserta
147716,0.0414,No deserta
147717,0.7433,Deserta
147718,0.6824,Deserta
147720,0.1884,No deserta
147714,0.5911,Deserta
147721,0.0249,No deserta
147727,0.1851,No deserta
147726,0.8838,Deserta
147722,0.9732,Deserta
147730,0.6664,Deserta
147724,0.619,Deserta
147729,0.7449,Deserta
147728,0.0408,No deserta
147723,0.9307,Deserta
147735,0.8472,Deserta
147732,0.6046,Deserta
147736,0.0325,No deserta
147737,0.2114,No deserta
147738,0.2917,No deserta
147739,0.0065,No deserta
147743,0.0736,No deserta
147746,0.3756,No deserta
147749,0.0299,No deserta
147745,0.9573,Deserta
147741,0.0516,No deserta
147747,0.0196,No deserta
147744,0.0454,No deserta
147748,0.0203,No deserta
147742,0.0936,No deserta
147759,0.1756,No deserta
147750,0.5899,Deserta
147757,0.0729,No deserta
147754,0.9508,Deserta
147756,0.0215,No deserta
147769,0.0746,No deserta
147768,0.5579,Deserta
147762,0.0394,No deserta
147760,0.7614,Deserta
147774,0.318,No deserta
147773,0.0346,No deserta
147771,0.0625,No deserta
147770,0.6038,Deserta
147775,0.7731,Deserta
147776,0.1876,No deserta
147772,0.0333,No deserta
147784,0.0206,No deserta
147788,0.9602,Deserta
147787,0.8887,Deserta
147785,0.8704,Deserta
147781,0.8201,Deserta
147790,0.8509,Deserta
147780,0.0133,No deserta
147797,0.8785,Deserta
147800,0.8405,Deserta
147799,0.8941,Deserta
147793,0.0341,No deserta
147794,0.7912,Deserta
147791,0.1468,No deserta
147796,0.0182,No deserta
147792,0.0359,No deserta
147805,0.0121,No deserta
147807,0.0169,No deserta
147802,0.8899,Deserta
147806,0.9356,Deserta
147804,0.118,No deserta
147808,0.4039,No deserta
147809,0.7736,Deserta
147818,0.6473,Deserta
147817,0.672,Deserta
147820,0.9496,Deserta
147810,0.0248,No deserta
147813,0.8613,Deserta
147816,0.8343,Deserta
147812,0.133,No deserta
147811,0.3255,No deserta
