iter	Logloss
0	0.6334920107
1	0.5952793501
2	0.5701135539
3	0.5561805305
4	0.5408720422
5	0.5337008486
6	0.5259372704
7	0.516997355
8	0.5120460015
9	0.5076416843
10	0.5050043294
11	0.5015384874
12	0.4994481896
13	0.4960648304
14	0.4936757875
15	0.4908507228
16	0.489127907
17	0.4866274351
18	0.4850136528
19	0.4829390167
20	0.4815778993
21	0.4797738098
22	0.4784395641
23	0.4770976959
24	0.4761243264
25	0.4749693321
26	0.4738206791
27	0.4728365236
28	0.4719576183
29	0.4711537505
30	0.4701630196
31	0.4692222592
32	0.4680763402
33	0.4672229658
34	0.4664025981
35	0.4655214962
36	0.4645241587
37	0.4637195451
38	0.462536222
39	0.4612397415
40	0.4609889268
41	0.4598988646
42	0.45882228
43	0.458313117
44	0.4582616405
45	0.4577027524
46	0.4567200963
47	0.4561743144
48	0.4552982814
49	0.4544495146
50	0.4533518612
51	0.45251003
52	0.4516962939
53	0.4510839826
54	0.4502862041
55	0.448787919
56	0.4481261216
57	0.4474104512
58	0.4469468033
59	0.4458119114
60	0.4450806932
61	0.4445929981
62	0.4441400358
63	0.4430238327
64	0.4423209595
65	0.4413472009
66	0.4407275464
67	0.4402794594
68	0.4396123698
69	0.4388299973
70	0.4378462159
71	0.4372664315
72	0.4362970551
73	0.4356753622
74	0.4350958816
